Date,Open,High,Low,Close,AdjClose,Volume
2018/1/10,203,205.720001,202.5,205.610001,205.610001,3793100
2018/1/11,205.960007,207.279999,205.720001,206.690002,206.690002,3641500
2018/1/12,207.270004,210.389999,206.800003,210.160004,210.160004,4184400
2018/1/16,213.119995,214.029999,209.360001,210.289993,210.289993,6220000
2018/1/17,211.919998,214.5,211.139999,214.160004,214.160004,4600700
2018/1/18,215.669998,215.779999,213.059998,213.190002,213.190002,5141500
2018/1/19,213.449997,214.300003,212.110001,213.25,213.25,5140200
2018/1/22,213.289993,216.080002,213.25,215.970001,215.970001,3267200
2018/1/23,216.039993,216.350006,212.770004,215.559998,215.559998,3659100
2018/1/24,216.119995,216.889999,214.589996,215.610001,215.610001,4294200
2018/1/25,216.240005,216.5,214.279999,215.100006,215.100006,3088300
2018/1/26,215.520004,217.339996,215.149994,217.190002,217.190002,3640800
2018/1/29,217.149994,217.619995,215.190002,215.460007,215.460007,3021300
2018/1/30,214.970001,216.619995,214.100006,214.410004,214.410004,5040100
2018/1/31,214.990005,215.050003,213.369995,214.380005,214.380005,4626300
2018/2/1,214.490005,217.5,214.029999,217.25,217.25,4508900
2018/2/2,216.160004,216.580002,207.869995,209.119995,209.119995,6080600
2018/2/5,205.490005,207.100006,196,196.800003,196.800003,10746500
2018/2/6,193.149994,201.919998,190.179993,201.240005,201.240005,10663000
2018/2/7,202,204.479996,200,200.369995,200.369995,5758000
2018/2/8,200.369995,200.990005,191.039993,191.419998,191.419998,8044400
2018/2/9,195.679993,197.570007,189.300003,196.020004,196.020004,8931700
2018/2/12,198.509995,200.660004,196.139999,198.889999,198.889999,5128900
2018/2/13,197.580002,198.839996,195.919998,197.990005,197.990005,3967700
2018/2/14,197.039993,200.759995,195.990005,200.539993,200.539993,4348100
2018/2/15,202.380005,203.899994,200.309998,203.899994,203.899994,4357900
2018/2/16,203.990005,206.320007,203.160004,203.789993,203.789993,4382500
2018/2/20,203.339996,204.699997,202.350006,203.050003,203.050003,4116700
2018/2/21,202.5,205.220001,200.770004,201.020004,201.020004,4994400
2018/2/22,201.570007,203.279999,200.160004,200.729996,200.729996,4034000
2018/2/23,201.389999,202.970001,200.809998,202.759995,202.759995,4128400
2018/2/26,207.710007,211.139999,205.360001,210.619995,210.619995,8254100
2018/2/27,212,213.130005,209.649994,209.660004,209.660004,5903400
2018/2/28,211,211.539993,200.470001,207.199997,207.199997,5378300
2018/3/1,206.820007,208.570007,200.279999,201.529999,201.529999,6984000
2018/3/2,199.979996,201.970001,198.979996,201.339996,201.339996,5025500
2018/3/5,199.600006,204.130005,199.119995,203.240005,203.240005,4041100
2018/3/6,204.860001,204.860001,202.369995,204.550003,204.550003,3203300
2018/3/7,202.350006,204.830002,201.75,204.300003,204.300003,3622800
2018/3/8,204.320007,205.490005,203.029999,205.289993,205.289993,3084500
2018/3/9,206.949997,213.240005,206.25,212.940002,212.940002,5494300
2018/3/12,213.199997,213.360001,211.240005,211.820007,211.820007,4967000
2018/3/13,212.690002,213.039993,208.800003,209.130005,209.130005,4698200
2018/3/14,210.399994,210.399994,206.229996,206.990005,206.990005,4015400
2018/3/15,208.289993,209.320007,207.610001,207.820007,207.820007,4127200
2018/3/16,208.559998,208.970001,206.460007,206.960007,206.960007,5961800
